english_text,translation,included
This room is clean,ห้องนี้สะอาด,TRUE
You are cute,คุณน่ารัก,TRUE
I love you,ฉันรักคุณ,TRUE
Please speak more slowly,กรุณาพูดช้ากว่านี้,TRUE
Not the same,ไม่เหมือนกัน,TRUE
He is taller than you,เขาสูงกว่าคุณ,TRUE
This lesson is easy,บทเรียนนี้ง่าย,TRUE
That bottle of water is small,ขวดน้ำนั้นมีขนาดเล็ก,TRUE
"If you like coffee, then you also like tea",ถ้าคุณชอบกาแฟคุณก็ชอบชา,TRUE
I am the first-born,ฉันเป็นคนแรก,TRUE
I live behind the school,ฉันอาศัยอยู่หลังโรงเรียน,TRUE
She wants to live in a house,เธออยากอยู่ในบ้าน,TRUE
Where are you from?,คุณมาจากที่ไหน,TRUE
What did you study in school?,คุณเรียนอะไรในโรงเรียน?,TRUE